,County,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22
0,Troup,1,2,2,2,2,4,4
1,Polk,1,1,1,1,3,4,4
2,Unknown,0,0,0,6,31,37,38
3,Carroll,0,0,0,0,7,14,14
4,Sumter,0,0,0,0,2,2,2
5,Clarke,3,3,5,8,10,9,9
6,Lamar,0,0,0,0,1,1,3
7,Houston,0,0,1,1,2,1,1
8,Peach,0,0,0,1,1,2,3
9,Lowndes,3,4,5,6,7,7,8
10,Gordon,0,2,3,4,3,4,4
11,Paulding,1,1,3,3,3,4,4
12,Pickens,0,0,0,0,2,2,2
13,Henry,0,2,2,3,6,7,7
14,Whitfield,0,0,1,1,1,1,2
15,Glynn,0,0,0,2,2,2,3
16,Richmond,0,1,1,2,8,0,0
17,Laurens,0,0,0,2,2,2,2
18,Bibb,0,0,0,1,1,1,1
19,Dawson,0,0,0,0,1,1,1
20,Bartow,9,10,0,0,54,56,57
21,Chatham,0,0,0,0,2,4,4
22,Baldwin,0,0,0,0,0,2,2
23,Coweta,0,3,3,3,6,8,8
24,Early,0,0,0,2,2,2,2
25,Cherokee,7,7,9,16,16,17,18
26,Monroe,0,0,0,0,1,1,1
27,Barrow,0,0,1,1,1,1,1
28,Hall,1,1,3,5,6,9,9
29,Worth,0,0,0,0,2,2,2
30,Miller,0,0,0,0,1,1,1
31,Oconee,0,0,0,0,1,1,1
32,Fayette,5,5,8,9,9,9,9
33,Randolph,0,0,0,0,1,1,1
34,Clayton,5,4,6,6,10,13,13
35,Muscogee,0,0,0,1,1,2,2
36,Turner,0,0,0,0,1,1,1
37,Douglas,0,0,0,0,1,4,4
38,Butts,0,0,0,0,0,0,1
39,Charlton,1,1,1,1,1,1,1
40,DeKalb,10,15,18,22,36,41,45
41,Twiggs,0,0,0,0,0,0,1
42,Cobb,22,25,28,37,47,50,61
43,Newton,1,1,3,3,4,4,4
44,Tift,0,0,0,0,1,2,2
45,Spalding,0,0,0,0,2,2,2
46,Gwinnett,5,7,7,12,23,23,27
47,Lincoln,0,0,0,0,0,1,1
48,Columbia,0,1,1,1,1,3,3
49,Lumpkin,0,0,0,0,0,1,1
50,Forsyth,1,1,2,3,3,4,4
51,Fulton,27,33,49,66,88,99,108
52,Dekalb,10,15,18,22,36,41,45
53,Dougherty,6,6,7,20,44,47,48
54,Chattooga,0,0,0,0,0,0,1
55,Heard,0,0,0,0,1,1,1
56,Terrell,0,0,0,0,2,2,2
57,Floyd,4,6,6,6,7,8,9
58,Rockdale,0,1,0,1,1,2,2
59,Effingham,0,0,0,0,1,1,2
60,Lee,2,2,2,3,13,14,16
